"","Var1","Freq"
"503","god",1
"504","going",22
"505","golgotha",1
"506","goliath",2
"507","good",5
"508","gospel",2
"509","gown",1
"510","grandchildren",1
"511","grandparents",1
"512","grasshopper",3
"513","grave",4
"514","graveforms",1
"515","gravemarkers",1
"516","grilling",1
"517","grinding",1
"518","grindstone",2
"519","groom",1
"520","grotesques",2
"521","ground",2
"522","group",65
"523","guests",1
"524","guinea",1
"525","gull",2
"526","hair",2
"527","hand",2
"528","handicrafts",3
"529","handing",6
"530","hands",1
"531","handtohand",1
"532","handwriting",2
"533","harbour",5
"534","hare",3
"535","harp",6
"536","harvest",11
"537","harvesting",1
"538","hat",1
"539","hay",1
"540","haywagon",1
"541","head",8
"542","headgear",1
"543","hearsecloth",1
"544","hearsepall",1
"545","hearth",4
"546","heaven",4
"547","heavenly",1
"548","help",1
"549","hen",12
"550","herbs",9
"551","herd",2
"552","herding",8
"553","herdsman",8
"554","herdswoman",8
"555","hh",9
"556","hiking",6
"557","hinduism",1
"558","historical",6
"559","hit",1
"560","hobbies",1
"561","hog",2
"562","holding",1
"563","holiday",1
"564","home",27
"565","honeymoon",1
"566","hooded",2
"567","hoofed",16
"568","hoop",2
"569","hoopoe",7
"570","horn",3
"571","horse",85
"572","horseman",40
"573","horses",2
"574","horsesleigh",2
"575","horsetram",1
"576","hot",1
"577","hothouse",1
"578","hound",1
"579","hour",1
"580","house",15
"581","household",4
"582","housing",11
"583","human",56
"584","hummingbird",9
"585","hunt",4
"586","hunted",5
"587","hunter",3
"588","hunting",14
"589","hut",2
"590","ibex",2
"591","ibis",1
"592","ice",4
"593","ideal",17
"594","ii",2
"595","implements",5
"596","including",1
"597","indian",1
"598","indians",24
"599","industrial",2
"600","industries",4
"601","industry",1
"602","infections",1
"603","informal",1
"604","inkwell",1
"605","inn",1
"606","insects",23
"607","inside",4
"608","insignia",1
"609","instruction",1
"610","instrument",7
"611","instruments",1
"612","intended",1
"613","inversus",2
"614","involved",1
"615","italians",2
"616","jacobs",1
"617","jail",1
"618","jainism",1
"619","jar",2
"620","jay",5
"621","jester",1
"622","john",1
"623","journey",2
"624","judge",1
"625","judges",2
"626","jug",2
"627","jumping",4
"628","jumpingrope",2
"629","justice",1
"630","kept",2
"631","keyboard",1
"632","kill",2
"633","killing",5
"634","kindred",3
"635","king",5
"636","kingfisher",3
"637","kings",1
"638","kissing",1
"639","kitchen",4
"640","kite",9
"641","kk",7
"642","kneeling",1
"643","knife",2
"644","knighthood",1
"645","knitting",1
"646","knocking",1
"647","la",1
"648","labour",2
"649","labourers",9
"650","lake",2
"651","lamb",5
"652","land",3
"653","landscape",9
"654","landscapes",33
"655","lark",3
"656","laundering",1
"657","le",2
"658","leading",3
"659","leave",1
"660","leaving",2
"661","left",2
"662","leg",1
"663","legal",1
"664","legendary",1
"665","leisure",2
"666","lending",1
"667","leopard",21
"668","letting",1
"669","library",1
"670","life",31
"671","lighthouse",2
"672","lighting",1
"673","lightning",2
"674","lightship",2
"675","lily",4
"676","lion",15
"677","litter",1
"678","liturgy",2
"679","living",1
"680","locked",2
"681","locomotion",2
"682","locomotive",2
"683","lodge",2
"684","log",1
"685","looking",3
"686","losing",2
"687","lost",4
"688","lovers",3
"689","lower",4
"690","luke",2
"691","lynx",3
"692","made",2
"693","magistracy",2
"694","magpie",2
"695","maiden",5
"696","maintenance",1
"697","making",1
"698","male",2
"699","mammals",9
"700","man",71
"701","management",2
"702","manners",1
"703","manservant",1
"704","manual",1
"705","marbles",1
"706","mark",1
"707","marketing",2
"708","marking",1
"709","marriage",3
"710","married",1
"711","mary",1
"712","mask",1
"713","master",3
"714","material",4
"715","materialization",1
"716","matrimonium",1
"717","matthew",1
"718","mayor",1
"719","meadow",1
"720","meal",6
"721","means",2
"722","measuringinstruments",1
"723","meat",2
"724","meeting",5
"725","men",2
"726","messenger",2
"727","middleeasterns",1
"728","military",5
"729","milking",4
"730","milkmaid",1
"731","miller",1
"732","mills",1
"733","mind",1
"734","miniaturepainting",1
"735","mirror",3
"736","mischiefmaking",1
"737","missionary",2
"738","mitre",1
"739","mittens",1
"740","mm",1
"741","molluscs",1
"742","monde",2
"743","moneybox",1
"744","moneychest",1
"745","monkeys",1
"746","monks",2
"747","moon",2
"748","mostri",2
"749","moth",1
"750","mother",52
"751","motherlove",3
"752","motion",8
"753","motorship",1
"754","mountains",1
"755","mounts",1
"756","mourning",4
"757","mouse",10
"758","mowing",4
"759","muff",1
"760","mule",44
"761","mundus",2
"762","music",1
"763","musical",4
"764","name",4
"765","nature",22
"766","naughty",14
"767","naval",1
"768","neighbour",2
"769","nest",3
"770","net",1
"771","nightingale",1
"772","ninth",1
"773","nobility",1
"774","nonnarrative",1
"775","nonsport",2
"776","nontemperate",7
"777","nosegay",1
"778","nuns",3
"779","nursing",4
"780","oak",4
"781","objects",2
"782","of",3
"783","oillamp",1
"784","old",12
"785","omnibus",1
"786","one",13
"787","ones",6
"788","oneself",4
"789","open",9
"790","openair",1
"791","orange",2
"792","organ",1
"793","ornament",5
"794","ornamental",14
"795","ornaments",2
"796","osprey",1
"797","ostrich",4
"798","others",7
"799","outdoor",1
"800","outing",1
"801","outside",2
"802","outskirts",2
"803","owls",9
"804","ox",3
"805","packanimal",3
"806","packanimals",1
"807","paddlewheel",1
"808","painting",1
"809","pair",1
"810","paling",1
"811","pannus",1
"812","paradise",6
"813","parents",4
"814","parrot",4
"815","partridge",1
"816","parts",6
"817","passenger",1
"818","pastorals",2
"819","pastry",1
"820","pasture",1
"821","path",1
"822","pathway",1
"823","patriciate",1
"824","peacock",10
"825","pedlar",2
"826","pelican",2
"827","pen",1
"828","penalty",1
"829","peoples",2
"830","performance",1
"831","permission",1
"832","person",18
"833","persons",3
"834","petting",15
"835","pheasant",1
"836","philosophers",1
"837","physician",1
"838","picking",17
"839","picture",3
"840","pie",6
"841","piece",3
"842","pig",6
"843","pigeon",1
"844","piglet",1
"845","pinwheel",1
"846","pipe",2
"847","place",4
"848","plague",2
"849","plant",5
"850","plants",23
"851","play",1
"852","playground",1
"853","playing",23
"854","plays",17
"855","pleading",1
"856","pleasure",1
"857","plough",2
"858","ploughing",4
"859","politics",1
"860","poor",4
"861","possibly",4
"862","pot",1
"863","potatoes",1
"864","potted",2
"865","poultry",1
"866","power",1
"867","prayer",18
"868","praying",4
"869","preaching",3
"870","predatory",44
"871","preparation",3
"872","present",2
"873","presentation",1
"874","presenting",2
"875","press",1
"876","prey",34
"877","priest",1
"878","prince",2
"879","printing",1
"880","prison",1
"881","prisoner",2
"882","private",5
"883","processes",2
"884","procession",3
"885","products",1
"886","propelled",1
"887","proportions",1
"888","proposal",1
"889","protestant",1
"890","public",5
"891","pulling",3
"892","pulpit",1
"893","pump",1
"894","punishment",3
"895","pupil",4
"896","pursuing",2
"897","putti",2
"898","putting",5
"899","qq",3
"900","quail",5
"901","quasinude",1
"902","queen",6
"903","rabbit",6
"904","races",3
"905","racket",1
"906","railway",3
"907","rain",3
"908","rainbow",4
"909","ram",4
"910","rat",5
"911","raven",4
"912","reading",91
"913","reaping",4
"914","rebec",1
"915","receiving",1
"916","reception",1
"917","recreation",9
"918","red",11
"919","refused",1
"920","reins",4
"921","rejected",1
"922","relation",2
"923","relationships",3
"924","religious",6
"925","repair",1
"926","representation",4
"927","representations",2
"928","represented",3
"929","requesting",1
"930","rescuing",1
"931","resting",27
"932","return",2
"933","returning",2
"934","reversed",2
"935","rhinoceros",1
"936","rickshaw",1
"937","rider",43
"938","riding",43
"939","rifle",4
"940","right",1
"941","rights",1
"942","ripa",4
"943","ritual",2
"944","river",6
"945","road",2
"946","roasting",1
"947","robber",2
"948","robin",14
"949","rocking",2
"950","rockinghorse",1
"951","rocky",1
"952","rodents",18
"953","rose",6
"954","route",3
"955","rowing",3
"956","rowingboat",11
"957","rubbish",1
"958","rucksack",1
"959","rug",1
"960","ruin",1
"961","ruler",13
"962","runaway",3
"963","runner",11
"964","running",12
"965","rural",12
"966","russians",2
"967","sailingboat",46
"968","sailingship",46
"969","sailor",2
"970","saluting",1
"971","salvaging",1
"972","samuel",2
"973","sandals",3
"974","saving",4
"975","scales",1
"976","scenes",2
"977","sceptre",1
"978","scholars",1
"979","school",9
"980","scorpions",1
"981","scythe",2
"982","sea",3
"983","seaman",1
"984","searching",1
"985","seascape",1
"986","seascapes",2
"987","seasons",2
"988","second",3
"989","seen",4
"990","selfprotection",1
"991","selling",7
"992","sent",1
"993","sermon",1
"994","servant",2
"995","service",4
"996","settee",1
"997","setting",1
"998","sewing",2
"999","sex",1
"1000","sharpening",1
"1001","shed",1
"1002","sheep",10
"1003","shepherd",9
"1004","shepherdess",8
"1005","ship",8
"1006","shipdock",1
"1007","ships",16
"1008","shipyard",1
"1009","shoes",3
"1010","shooting",4
"1011","shop",1
"1012","shopping",2
"1013","shopwindow",2
"1014","shorebirds",8
"1015","shoulders",4
"1016","shower",1
"1017","showing",2
"1018","showwindow",2
"1019","sick",16
"1020","sickbed",1
"1021","signalling",1
"1022","simeon",1
"1023","simple",3
"1024","singing",3
"1025","sisters",2
"1026","sitting",7
"1027","situations",3
"1028","sixth",1
"1029","size",1
"1030","skill",4
"1031","slate",1
"1032","slaughterman",2
"1033","slave",1
"1034","slavetrade",3
"1035","sleeping",8
"1036","small",3
"1037","smew",1
"1038","smith",2
"1039","smithblacksmith",1
"1040","snail",1
"1041","snakes",2
"1042","snow",3
"1043","socks",1
"1044","sofa",1
"1045","solar",1
"1046","soldier",9
"1047","soldiers",7
"1048","solitary",3
"1049","solomon",1
"1050","somebody",48
"1051","someone",3
"1052","something",12
"1053","sometimes",2
"1054","songbirds",32
"1055","sons",25
"1056","sorcerer",1
"1057","sorceress",1
"1058","sorrows",1
"1059","south",1
"1060","sovereignty",2
"1061","sow",1
"1062","sowing",4
"1063","spade",1
"1064","spaniards",2
"1065","spanking",3
"1066","sparrow",3
"1067","sparrowhawk",2
"1068","special",1
"1069","spiders",1
"1070","spinningwheel",2
"1071","spirit",1
"1072","spoils",2
"1073","spoon",1
"1074","sport",2
"1075","sports",4
"1076","spreading",2
"1077","spring",1
"1078","spying",1
"1079","square",2
"1080","squirrel",6
"1081","stag",2
"1082","standing",2
"1083","starlinghouse",1
"1084","state",3
"1085","station",1
"1086","steam",2
"1087","steamsailer",1
"1088","steamship",1
"1089","stick",1
"1090","still",1
"1091","stilts",1
"1092","stockings",1
"1093","storage",2
"1094","stork",2
"1095","storm",3
"1096","story",3
"1097","stove",4
"1098","stratagem",1
"1099","street",7
"1100","strength",2
"1101","string",1
"1102","strolling",12
"1103","structures",1
"1104","studiolo",1
"1105","study",4
"1106","stylized",1
"1107","subjects",2
"1108","suckling",1
"1109","sun",3
"1110","sunrise",6
"1111","sunset",1
"1112","supper",3
"1113","surprise",1
"1114","surrealia",1
"1115","surrealistic",1
"1116","swallow",6
"1117","swan",8
"1118","swearing",1
"1119","sweeping",2
"1120","swimming",8
"1121","swinging",6
"1122","sychar",1
"1123","symbol",5
"1124","symbolizing",2
"1125","symbols",1
"1126","table",1
"1127","tailless",1
"1128","taken",1
"1129","taking",4
"1130","tamed",1
"1131","taming",3
"1132","tart",1
"1133","tea",2
"1134","teacher",5
"1135","teaching",2
"1136","temperate",2
"1137","temple",2
"1138","tending",4
"1139","tendrils",1
"1140","tent",2
"1141","tents",1
"1142","textile",2
"1143","theft",1
"1144","thin",1
"1145","thistle",4
"1146","threatening",5
"1147","three",5
"1148","throne",1
"1149","throwing",1
"1150","thrush",1
"1151","thunderbolt",1
"1152","tiara",2
"1153","tiger",2
"1154","tightropewalker",1
"1155","time",2
"1156","tobacco",2
"1157","toddler",12
"1158","together",7
"1159","tomb",2
"1160","tools",4
"1161","top",2
"1162","topsyturvy",2
"1163","tormenting",2
"1164","toucan",1
"1165","tower",3
"1166","toys",1
"1167","traffic",2
"1168","train",4
"1169","training",6
"1170","transport",3
"1171","transporting",4
"1172","trap",2
"1173","traveller",1
"1174","travelling",3
"1175","treasurechest",1
"1176","tree",3
"1177","trees",24
"1178","trip",1
"1179","triumphal",1
"1180","trombone",3
"1181","trotting",3
"1182","trumpet",3
"1183","trunked",12
"1184","tuba",3
"1185","tunnel",1
"1186","turkey",4
"1187","turks",2
"1188","turned",3
"1189","two",7
"1190","twowheeled",2
"1191","tying",2
"1192","types",1
"1193","unconsciousness",2
"1194","underground",1
"1195","undetermined",1
"1196","undressed",1
"1197","unicorn",1
"1198","university",1
"1199","untying",2
"1200","unusual",2
"1201","used",1
"1202","using",1
"1203","usually",2
"1204","valley",1
"1205","variant",1
"1206","vase",6
"1207","vegetables",1
"1208","vehicle",19
"1209","versus",7
"1210","victim",1
"1211","villa",12
"1212","village",16
"1213","viol",1
"1214","violent",3
"1215","violin",2
"1216","violinlike",1
"1217","visiting",7
"1218","volcano",3
"1219","wadingbirds",8
"1220","wagon",6
"1221","walker",11
"1222","walking",18
"1223","wall",1
"1224","wallpaper",1
"1225","walrus",3
"1226","war",2
"1227","warming",3
"1228","washing",1
"1229","wasp",1
"1230","watch",1
"1231","watchdog",2
"1232","watchfire",1
"1233","watching",2
"1234","water",5
"1235","waterbirds",13
"1236","waterfall",1
"1237","watering",3
"1238","watermill",1
"1239","waters",3
"1240","waterscapes",2
"1241","waving",1
"1242","way",4
"1243","weapon",2
"1244","weapons",1
"1245","weasel",1
"1246","weaving",1
"1247","weavingloom",1
"1248","wedding",2
"1249","weddingdress",1
"1250","welcomed",1
"1251","well",4
"1252","whale",13
"1253","whaling",1
"1254","wheat",8
"1255","wheel",1
"1256","wheelbarrow",2
"1257","whip",1
"1258","whirling",1
"1259","widow",1
"1260","wife",6
"1261","wild",2
"1262","windmill",3
"1263","window",5
"1264","winter",4
"1265","witch",2
"1266","wolf",6
"1267","woman",39
"1268","women",9
"1269","wood",6
"1270","woodcock",2
"1271","wooden",4
"1272","woodpecker",3
"1273","woods",4
"1274","work",3
"1275","working",3
"1276","works",2
"1277","world",4
"1278","worship",4
"1279","wounds",1
"1280","wreath",2
"1281","wreck",1
"1282","wren",4
"1283","writing",3
"1284","wrongly",2
"1285","xenophon",1
"1286","year",2
"1287","young",18
"1288","youth",11
"1289","zebra",1
"1290","zone",9
