"","name","desc"
"136","46C1111","crossing  river"
"137","43C1112","hunt mammals"
"138","25I244","village square place"
"139","11Q2112","prayer  going  bed   getting "
"140","11Q2112","prayer  going  bed   getting "
"141","42E31","grave tomb"
"142","11S3","journey  heaven pathway  heaven"
"143","42B7421","mother  sons family group"
"144","49N ","reading"
"145","42B83"," good child versus  naughty child"
"146","42B83"," good child versus  naughty child"
"147","31AA553","putting  tying  taking  untying sandals  shoes AA female human figure"
"148","31B11","sleeping  bed"
"149","31AA554","dressing someone else AA female human figure"
"150","42B83"," good child versus  naughty child"
"151","49G211","visiting  sick sick person together  others"
"152","42B83"," good child versus  naughty child"
"153","42B83"," good child versus  naughty child"
"154","42B71","family life  home"
"155","25F35","ornamental birds"
"156","25F25(ELEPHANT)","trunked animals elephant"
"157","43C7851","bubbleblowing childrens games  plays"
"158","46C149","accident  animaldrawn vehicle"
"159","43C41","ball games"
"160","42A52","playing toddler child amusing "
"161","43C7181","swinging childrens game"
"162","43C7146","ball games childrens games"
"163","31D11221 boy","child  toddler  youth"
"164","41C111","giving food"
"165","44B1511","queen empress etc wife   ruler"
"166","46B222","pedlar"
"167","41C221","cook"
"168","47B192","miller"
"169","33A6","saving  endangered fellow man"
"170","25F711(BUTTERFLY)","insects butterfly"
"171","43C7132","jumpingrope games"
"172","43B13","walking hiking recreation"
"173","47I242","beehive"
"174","43C1113","bird hunting"
"175","41C43","evening meal dinner supper"
"176","43B15","enjoying nature animals"
"177","43B11","contemplating nature"
"178","31A554","dressing someone else"
"179","41A6","garden"
"180","41A681","gardening"
"181","34A1","friendship  man  animal caressing petting"
"182","49N","reading"
"183","46A151","beggar"
"184","49N","reading"
"185","42B8","correction  naughty children"
"186","49L11","handwriting writing  activity"
"187","42B71","family life  home"
"189","31D12","youth adolescent"
"190","43C7","childrens games  plays"
"191","43C7112","contest games"
"192","25I244","village square place"
"193","43C7181","swinging childrens game"
"194","43C7146","ball games childrens games"
"195","43C712","jumping games"
"196","43C711","running games children"
"197","31D12","youth adolescent"
"198","41B211","warming oneself   fire  hearth stove firepan brazier"
"199","42E3","grave tomb   graveforms  gravemarkers"
"200","41D221(HAT)","headgear hat"
"201","41D92 ","woman showing  undressed quasinude"
"202","25F6","fishes"
"203","47I2131","ram"
"204","47I2111","bull"
"205","33C23","couple  lovers"
"206","25F716(CRAB)","crustaceans crab"
"207","25F23(LION)","beasts  prey predatory animals lion"
"208","31D15","adult woman"
"209","46B3311","scales"
"210","25F715","scorpions"
"211","92D1916","cupids amores amoretti putti"
"212","47I214","goat"
"213","41B211","warming oneself   fire  hearth stove firepan brazier"
"214","25F39(HUMMING-BIRD)"," birds hummingbird"
"215","48C7322","harp"
"216","25G3","trees"
"217","47I213","sheep"
"218","11Q511"," Bible   book"
"219","47I872","beam log  wood"
"220","45H33 ","handtohand fighting battle"
"221","47I2123","piglet suckling pig"
"222","34B11","dog"
"223","31D112","child"
"224","43C7","childrens games  plays"
"225","25G41(ROSE)","flowers rose"
"226","42F52","charwoman cleaning woman"
"227","47I2112","cow"
"228","46C21","ships  general"
"229","49B24","teacher  pupil"
"230","25G3","trees"
"231","47I242","beehive"
"232","44A1","coat  arms  symbol   state etc"
"233","51FF5","End Fine Ripa"
"234","44A1","coat  arms  symbol   state etc"
"235","43C92","one pair dancing man  woman dancing   couple"
"236","13B1","witch sorceress"
"237","41A23","bedroom"
"238","33C23","couple  lovers"
"239","44B15121","prince"
"240","46C24","sailingship sailingboat"
"241","47I2111","bull"
"242","41A161","countryhouse"
"243","46C131","riding  horse ass  mule rider horseman"
"244","31D14","adult man"
"245","25G3","trees"
"246","43B41","playing   woods"
"247","31E","death  human "
"248","49G211","visiting  sick sick person together  others"
"249","49G211","visiting  sick sick person together  others"
"250","43C735","child  plant games  plays"
"251","31D14","adult man"
"252","46C13181","walking horse  motion"
"253","31E234632","violent death  dagger knife"
"254","46C519","getting lost  lost ones way losing ones way"
"255","49N","reading"
"256","42B7422","mother  daughters family group"
"257","34B12","cat"
"258","41C625","pie"
"259","43C112","hunting accidents"
"260","46C131","riding  horse ass  mule rider horseman"
"261","46C13183","galloping horse"
"262","47I213","sheep"
"263","31A2731","falling"
"264","46C24","sailingship sailingboat"
"265","46C24","sailingship sailingboat"
"266","46B132","shopwindow showwindow"
"267","43A3721","tightropewalker"
"268","46C144","fourwheeled animaldrawn vehicle eg cab carriage coach"
"269","46C13187","leading  horse   reins rider beside  horse"
"270","31D13","adolescent young woman maiden"
"271","31D17","old woman"
"272","42D24","civil marriage ceremony"
"273","44B1511","queen empress etc wife   ruler"
"274","46C13141","horse"
"275","25G3","trees"
"276","98B(XENOPHON)","story  Xenophon"
"277","44B1524","court jester court fool"
"278","25G3","trees"
"279","45C16(CANNON)","firearms cannon"
"280","25G3","trees"
"281","44B191","crown symbol  sovereignty"
"282","48C7334","organ"
"283","25F3","birds"
"284","46C21","ships  general"
"285","41A7751","container made  plant material   wood basket"
"286","42B7421","mother  sons family group"
"287","31A235","sitting figure"
"288","46A151","beggar"
"289","46CC21","ships  general CC   one ship"
"290","41A191","tent"
"291","42B741","father  children man  children family group"
"292","43C771","reading  picture book"
"293","43C73","reading  picture book"
"294","42B741","father  children man  children family group"
"295","42B73","family life   circumstances   home   holiday"
"296","42A411","cradle crib"
"297","25F3","birds"
"298","43C421","shooting  bow  arrow archery games  skill"
"299","31D14","adult man"
"300","31A2711","walking"
"301","31D14","adult man"
"304","44B113","king"
"305","34B11","dog"
"306","47I123","ploughing"
"307","44B113","king"
"308","49N","reading"
"309","41C12","drinking"
"310","42A411","cradle crib"
"311","31D14","adult man"
"312","49D521","measuringinstruments"
"313","31D14","adult man"
"314","41A646","garden vase"
"315","46C24","sailingship sailingboat"
"316","42A411","cradle crib"
"317","46C144","fourwheeled animaldrawn vehicle eg cab carriage coach"
"318","46C251","paddlewheel boat"
"319","41A6711","flowers   vase"
"320","46C215(ANCHOR)","parts  ships exterior anchor"
"321","34B11","dog"
"322","25F23(FOX)","beasts  prey predatory animals fox"
"323","31D14","adult man"
"324","41A711","table"
"325","31D17","old woman"
"326","34B12","cat"
"327","41B21","open hearth fireplace"
"328","42F314","sweeping cleaning  house"
"329","41C26","preparation  food"
"330","41D211","dress gown"
"331","48C752","one person playing  instrument"
"332","41C251","roasting grilling"
"333","31BB19","resting BB   doors"
"334","11G","angels"
"335","11G2","activities  angels  heaven"
"336","11G2","activities  angels  heaven"
"337","11G21","angels singing making music"
"338","11C2","God  Father represented  human  usually  crown  tiara  sceptre andor globe"
"339","11Q733","preaching  general"
"340","46C13181","walking horse  motion"
"341","43C421","shooting  bow  arrow archery games  skill"
"342","31A27112 ","running"
"343","31BB19","resting BB   doors"
"344","43C421","shooting  bow  arrow archery games  skill"
"345","47H313","spinningwheel"
"346","46C1271","carrying  person  ones back"
"347","42E432","churchyard around church"
"348","11Q72","going  church"
"349","25G4111","garland wreath"
"350","11Q21","one person praying"
"351","47H463","weavingloom"
"352","41A431","carpet rug"
"353","46C1314","horses  kindred animals"
"354","46C232","rowingboat canoe etc"
"355","43C7","childrens games  plays"
"356","46C131","riding  horse ass  mule rider horseman"
"357","46C13141","horse"
"358","25F6","fishes"
"359","25FF241 unicorn","unicorn"
"360","25F23(LION)","beasts  prey predatory animals lion"
"361","11P31131","insignia  bishop eg mitre crozier"
"362","47I221","herding herdsman herdswoman shepherd shepherdess cowherd etc"
"363","34B11","dog"
"364","25F42","snakes"
"365","47I2133","lamb"
"366","43A421","chariot triumphal car"
"367","46C13141","horse"
"368","46C215(ANCHOR)","parts  ships exterior anchor"
"369","25F3","birds"
"370","34C1","feeding wild animals"
"371","25F26(SQUIRREL)","rodents squirrel"
"372","47I4131","picking fruit"
"373","7","Bible"
"374","42B751","grandparents  grandchildren family group"
"375","25I2","village"
"376","42A553","return  runaway child"
"377","33A35","conversation dialogue conversation piece"
"378","11Q2112","prayer  going  bed   getting "
"379","42E131","mourning  dead"
"380","43C421","shooting  bow  arrow archery games  skill"
"381","31A2391","bending figure"
"382","47B1814","butcher slaughterman"
"383","49N","reading"
"384","43C1131"," kill hunting"
"385","44B1311","swearing allegiance   ruler"
"386","31A25341","looking   hand   eyes"
"387","47I221","herding herdsman herdswoman shepherd shepherdess cowherd etc"
"388","31BB1","sleeping unconsciousness BB   doors"
"389","34B113","watchdog dog watching"
"390","46C31","flying     aid  animals"
"391","47I2112","cow"
"392","34B12","cat"
"393","34B114","walking  dog"
"394","47I2112","cow"
"395","47I212","pig"
"396","47I214","goat"
"397","46C131","riding  horse ass  mule rider horseman"
"398","34A11","taming domestication  animals tamed  domesticated animal"
"399","47I2133","lamb"
"400","47I213","sheep"
"401","25F23","LION beasts  prey predatory animals lion"
"402","25F23","BEAR beasts  prey predatory animals bear"
"403","34F1","animals threatening man"
"404","25F24","CAMEL hoofed animals camel"
"405","34A1","friendship  man  animal caressing petting"
"406","41A171","barn"
"407","34B232","fowl cock hen chicken etc"
"408","25F38","OSTRICH walker  runner birds ostrich"
"409","25F33","EAGLE predatory birds eagle"
"410","25F35","PEACOCK ornamental birds peacock"
"411","34B2332","geese domestic waterbirds"
"412","25F32","SWALLOW songbirds swallow"
"413","25F38","QUAIL walker  runner birds quail"
"414","34B131","bird   cage"
"415","25F37","STORK shorebirds  wadingbirds stork"
"416","25F32","SPARROW songbirds sparrow"
"417","31D15","adult woman"
"418","34B232","fowl cock hen chicken etc"
"419","34B2321","chicken house"
"420","25F32","RAVEN songbirds raven"
"421","25F36","SWAN waterbirds swan"
"422","25I3","farm  solitary house  landscape"
"423","42B742","mother  children woman  children family group"
"424","11Q2112","prayer  going  bed   getting "
"425","42A5","child  home"
"426","47I221","herding herdsman herdswoman shepherd shepherdess cowherd etc"
"427","42B741","father  children man  children family group"
"428","34B2332","geese domestic waterbirds"
"429","43C75","mischiefmaking play"
"430","11Q51","reading  Bible   religious books"
"431","11Q2112","prayer  going  bed   getting "
"432","42B741","father  children man  children family group"
"433","47I223","milking"
"434","41A3911","well"
"435","11Q511"," Bible   book"
"436","46A212 giving alms or other charity, e.g.: handing out food","giving alms   charity eg handing  food"
"437","11Q51","reading  Bible   religious books"
"438","11Q51","reading  Bible   religious books"
"439","41A16","rural housing eg countryhouse villa cottage"
"440","42AA51","toddler AA girl"
"441","47I221","herding herdsman herdswoman shepherd shepherdess cowherd etc"
"442","34B232","fowl cock hen chicken etc"
"443","24A1","sunrise"
"444","25F32","LARK songbirds lark"
"445","25F32","SWALLOW songbirds swallow"
"446","25I3","farm  solitary house  landscape"
"447","47I242","beehive"
"448","43C128","fisherman"
"449","43C11","hunting chase"
"450","46C13143","mule"
"451","31BB19","resting BB   doors"
"452","43C128","fisherman"
"453","31BB19","resting BB   doors"
"454","41A9","ruin   dwelling house castle etc"
"455","25I4","factories  mills  landscape"
"456","47I21","cattle"
"457","46C13141","horse"
"458","31BB19","resting BB   doors"
"459","26B4","downpour rain shower"
"460","25F26","HARE rodents hare"
"461","46A174","labourers returning home"
"462","41A16","rural housing eg countryhouse villa cottage"
"463","25F24","DEER hoofed animals deer"
"464","47I123","ploughing"
"465","47I81","forester"
"466","24B2","full moon"
"467","25HH214","lake HH ideal landscapes"
"469","43C128","fisherman"
"470","47I22311","milkmaid"
"471","24A2","sunset"
"472","31D15","adult woman"
"473","46C131","riding  horse ass  mule rider horseman"
"474","25I245","canals waters  village"
"475","25I2","village"
"476","41A6811","watering plants"
"477","41A681","gardening"
"478","47I221","herding herdsman herdswoman shepherd shepherdess cowherd etc"
"479","46C2236","boathouse shed"
"480","47L1","building  ship ship  construction"
"481","25H17","meadow pasture"
"482","46C24","sailingship sailingboat"
"483","42B7412","father  daughters family group"
"484","25I241","village street"
"485","49N","reading"
"486","46C24","sailingship sailingboat"
"487","41A16","rural housing eg countryhouse villa cottage"
"488","49M32","book"
"489","42E432","churchyard around church"
"490","41A16","rural housing eg countryhouse villa cottage"
"491","41A16","rural housing eg countryhouse villa cottage"
"492","25F26(RABBIT)","rodents rabbit"
"493","45C11","casting weapons"
"494","41A16","rural housing eg countryhouse villa cottage"
"495","41A16","rural housing eg countryhouse villa cottage"
"496","34C212","starlinghouse"
"497","46C23","boat propelled  man  animal"
"498","46C24","sailingship sailingboat"
"499","46C24","sailingship sailingboat"
"500","25I241","village street"
"501","31D14","adult man"
"502","42A571","child running errands"
"503","43C712","jumping games"
"504","42B742","mother  children woman  children family group"
"505","43B15","enjoying nature animals"
"506","46C131","riding  horse ass  mule rider horseman"
"507","33C23","couple  lovers"
"508","46C24","sailingship sailingboat"
"509","42G2222","sisters second degree family relationships"
"510","42D243","wedding reception"
"511","43C73","child  nature games  plays"
"512","49N","reading"
"513","42B71","family life  home"
"514","41C6412","cheese"
"515","25I41","windmill  landscape"
"516","47I23","poultry farm"
"517","34B232","fowl cock hen chicken etc"
"518","42B742","mother  children woman  children family group"
"519","34B232","fowl cock hen chicken etc"
"520","47I2112","cow"
"521","11D3","Christ  adult"
"522","25HH216","waterfall HH ideal landscapes"
"523","47I221","herding herdsman herdswoman shepherd shepherdess cowherd etc"
"524","11Q712","church exterior"
"525","25KK","landscapes   nontemperate zone exotic landscapes KK ideal landscapes"
"526","25G3(OAK)","trees oak"
"527","25G3","trees"
"528","25I2451","bridge  village across river canal etc"
"529","25KK","landscapes   nontemperate zone exotic landscapes KK ideal landscapes"
"530","25G3(OAK)","trees oak"
"531","25G3","trees"
"532","25I2451","bridge  village across river canal etc"
"533","25KK","landscapes   nontemperate zone exotic landscapes KK ideal landscapes"
"534","25G3(OAK)","trees oak"
"535","25G3","trees"
"536","25I2451","bridge  village across river canal etc"
"537","25KK","landscapes   nontemperate zone exotic landscapes KK ideal landscapes"
"538","25G3(OAK)","trees oak"
"539","25G3","trees"
"540","25I2451","bridge  village across river canal etc"
"541","46A181","slavetrade"
"542","47I131","sowing"
"543","43B144","picking flowers"
"544","46A151","beggar"
"545","46C2322","rowing facing backward pulling"
"546","46A181","slavetrade"
"547","47I131","sowing"
"548","43B144","picking flowers"
"549","46A151","beggar"
"550","46C2322","rowing facing backward pulling"
"551","46A181","slavetrade"
"552","47I131","sowing"
"553","43B144","picking flowers"
"554","46A151","beggar"
"555","46C2322","rowing facing backward pulling"
"556","25G4","THISTLE plants  herbs thistle"
"557","25G3","trees"
"558","25G3","trees"
"559","46C24","sailingship sailingboat"
"560","25G5","lower plants"
"561","25G41","flowers"
"562","25G4","THISTLE plants  herbs thistle"
"563","25G3","trees"
"564","25G3","trees"
"565","46C24","sailingship sailingboat"
"566","25G5","lower plants"
"567","25G41","flowers"
"568","49N1","reading  somebody"
"569","11Q72","going  church"
"570","49G22","nursing tending  sick"
"571","46C24","sailingship sailingboat"
"572","49N1","reading  somebody"
"573","11Q7","public worship  liturgy   Christian churches"
"574","49G22","nursing tending  sick"
"575","46C21","ships  general"
"576","44B155","daily life  court"
"577","45F5","army en route"
"578","11QQ7121(CHAPEL) parts of church exterior and annexes: chapel - QQ
                                - small church, chapel","parts  church exterior  annexes chapel QQ small church chapel"
"579","25G4(WHEAT)","plants  herbs wheat"
"580","47I531","hothouse glasshouse"
"581","11D3223","Christ  heavenly judge"
"582","45B13","arrival  company station military service"
"583","11Q712","church exterior"
"584","25G4","WHEAT plants  herbs wheat"
"585","43B14","enjoying nature plants herbs  flowers"
"586","34A1","friendship  man  animal caressing petting"
"587","31BB19","resting BB   doors"
"588","25F23(LEOPARD)","beasts  prey predatory animals leopard"
"589","31A2352","sitting   elevation"
"590","41A773","container  ceramics jar jug pot vase"
"591","43C73","child  nature games  plays"
"592","34F","man  wild animal"
"593","31BB1","sleeping unconsciousness BB   doors"
"594","25F23","TIGER beasts  prey predatory animals tiger"
"595","43B411","climbing   tree"
"596","41A646","garden vase"
"597","34A1","friendship  man  animal caressing petting"
"598","25I2","village"
"599","41A16","rural housing eg countryhouse villa cottage"
"600","31BB19","resting BB   doors"
"601","43B15","enjoying nature animals"
"602","7","Bible"
"603","25KK","landscapes   nontemperate zone exotic landscapes KK ideal landscapes"
"604","41A16","rural housing eg countryhouse villa cottage"
"605","31BB13","sleeping   ground BB   doors"
"606","47I24","beekeeping apiculture"
"607","11Q511"," Bible   book"
"608","46AA17","working class labourers AA women"
"609","46A","communal life"
"610","47I24","beekeeping apiculture"
"611","coastal cliff or crag - HH - ideal landscapes","HH"
"612","46C131","riding  horse ass  mule rider horseman"
"613","46A24","relation  master  servant"
"614","46A63","meeting assembly"
"615","43B15","enjoying nature animals"
"616","25H131","rocky coast"
"617","46C131","riding  horse ass  mule rider horseman"
"618","49N","reading"
"619","41A3362","human figure  open window seen  inside"
"620","42A361","rocking  baby"
"621","49N","reading"
"622","42AA5","child  home AA girl"
"623","42A361","rocking  baby"
"624","46CC211","shipyard shipdock CC   one ship"
"625","25H23","sea seascape"
"626","11Q733","preaching  general"
"627","46C21","ships  general"
"628","46C232","rowingboat canoe etc"
"629","46C24","sailingship sailingboat"
"630","11Q73121","sermon Protestant service"
"631","46C24","sailingship sailingboat"
"632","11Q2112","prayer  going  bed   getting "
"633","42B71","family life  home"
"634","44G13","magistracy judges"
"635","11Q5","private worship  religious study"
"636","11Q2112","prayer  going  bed   getting "
"637","42B742","mother  children woman  children family group"
"638","44G13","magistracy judges"
"639","48C51","painting including bookillumination miniaturepainting"
"640","45B"," soldier  soldiers life"
"641","42B7421","mother  sons family group"
"642","46C24","sailingship sailingboat"
"643","42B113","father  sons  daughters fatherlove"
"644","46C24","sailingship sailingboat"
"645","45B"," soldier  soldiers life"
"646","42B7421","mother  sons family group"
"647","46C24","sailingship sailingboat"
"648","42B113","father  sons  daughters fatherlove"
"649","46C24","sailingship sailingboat"
"650","45B"," soldier  soldiers life"
"651","42B7421","mother  sons family group"
"652","46C24","sailingship sailingboat"
"653","42B113","father  sons  daughters fatherlove"
"654","46C24","sailingship sailingboat"
"655","71H14","story  David  Goliath  Samuel "
"656","25HH2","landscapes  waters waterscapes seascapes   temperate zone HH ideal landscapes"
"657","25HH11","mountains HH ideal landscapes"
"658","25C13","hot spring geyser"
"659","46C131","riding  horse ass  mule rider horseman"
"660","31E2346","violent death  weapon"
"661","24A1","sunrise"
"662","25H12","dale valley"
"663","25C12","volcano"
"664","46C131","riding  horse ass  mule rider horseman"
"665","47I145","transporting harvest"
"666","43B15","enjoying nature animals"
"667","42B742","mother  children woman  children family group"
"668","46C1421","twowheeled vehicle drawn  one animal"
"669","46C13","animal mounts packanimals"
"670","43C734","child playing  animals"
"671","42B742","mother  children woman  children family group"
"672","46C145","farm wagon freight wagon cart"
"673","42B7421","mother  sons family group"
"674","33A53","arm  arm friends"
"675","49G22","nursing tending  sick"
"676","42B742","mother  children woman  children family group"
"677","31AA231","standing figure AA female human figure"
"678","49G22","nursing tending  sick"
"679","34B11","dog"
"680","34B11","dog"
"681","25F26(SQUIRREL)","rodents squirrel"
"682","34B11","dog"
"683","34B11","dog"
"684","34B11","dog"
"685","25F26(SQUIRREL)","rodents squirrel"
"686","34B11","dog"
"687","34B11","dog"
"688","34B11","dog"
"689","25F26(SQUIRREL)","rodents squirrel"
"690","34B11","dog"
"691","31BB19","resting BB   doors"
"692","25I2","village"
"693","42B71","family life  home"
"694","31A235","sitting figure"
"695","25II18","outskirts  city II ideal city"
"696","42B74","family group especially parents   children"
"697","45B"," soldier  soldiers life"
"698","49N","reading"
"699","42B8","correction  naughty children"
"700","11Q2112","prayer  going  bed   getting "
"701","49N","reading"
"702","42B8","correction  naughty children"
"703","11Q2112","prayer  going  bed   getting "
"704","45B"," soldier  soldiers life"
"705","42D42","widow"
"706","45H","battle fighting  general"
"707","25G411","cut flowers nosegay bunch  flowers"
"708","45D313","private soldier"
"709","42B7421","mother  sons family group"
"710","45F5","army en route"
"711","48A9833","flowers ornament"
"712","45D313","private soldier"
"713","42B7421","mother  sons family group"
"714","45F5","army en route"
"715","48A9833","flowers ornament"
"716","42AA5","child  home AA girl"
"717","31A5111","looking   mirror possibly contemplation   beauty"
"718","42B7422","mother  daughters family group"
"719","11Q2112","prayer  going  bed   getting "
"720","42B742","mother  children woman  children family group"
"721","49G211","visiting  sick sick person together  others"
"722","11Q2112","prayer  going  bed   getting "
"723","42E131","mourning  dead"
"724","49G211","visiting  sick sick person together  others"
"725","31E2346","violent death  weapon"
"726","49N1","reading  somebody"
"727","43B15","enjoying nature animals"
"728","46C24","sailingship sailingboat"
"729","71H14","story  David  Goliath  Samuel "
"730","42B741","father  children man  children family group"
"731","43C73","child  nature games  plays"
"732","46C21","ships  general"
"733","46C223","harbour"
"734","46C24","sailingship sailingboat"
"735","46C24","sailingship sailingboat"
"736","11P31522","nuns"
"737","46C223","harbour"
"738","46C24","sailingship sailingboat"
"739","46C24","sailingship sailingboat"
"740","11P31522","nuns"
"741","46C223","harbour"
"742","46C24","sailingship sailingboat"
"743","46C24","sailingship sailingboat"
"744","11P31522","nuns"
"745","31BB19","resting BB   doors"
"746","31A27113","strolling"
"747","33A7","neighbour"
"748","31BB19","resting BB   doors"
"749","31A27113","strolling"
"750","33A7","neighbour"
"751","46C121","carrying something"
"752","31A27113","strolling"
"753","25G5","lower plants"
"754","11Q21","one person praying"
"755","46C121","carrying something"
"756","31A27113","strolling"
"757","25G5","lower plants"
"758","11Q21","one person praying"
"759","46C13182","trotting horse  motion"
"760","42B7421","mother  sons family group"
"761","41A673","potted plants"
"762","46C13182","trotting horse  motion"
"763","42B7421","mother  sons family group"
"764","41A673","potted plants"
"765","25KK","landscapes   nontemperate zone exotic landscapes KK ideal landscapes"
"766","25HH15","forest wood HH ideal landscapes"
"767","25F23","LEOPARD beasts  prey predatory animals leopard"
"768","25F23","LEOPARD beasts  prey predatory animals leopard"
"769","25F23","LEOPARD beasts  prey predatory animals leopard"
"770","25KK","landscapes   nontemperate zone exotic landscapes KK ideal landscapes"
"771","25HH15","forest wood HH ideal landscapes"
"772","25F23","LEOPARD beasts  prey predatory animals leopard"
"773","25F23","LEOPARD beasts  prey predatory animals leopard"
"774","25F23","LEOPARD beasts  prey predatory animals leopard"
"775","46A24","relation  master  servant"
"776","46C1442","fourwheeled vehicle drawn  two animals"
"777","42B742","mother  children woman  children family group"
"778","44B124","ruler  counsellors"
"779","41A12","castle"
"780","46AA17","working class labourers AA women"
"781","46C1442","fourwheeled vehicle drawn  two animals"
"782","42B742","mother  children woman  children family group"
"783","44B15121","prince"
"784","41A12","castle"
"785","45B"," soldier  soldiers life"
"786","25I141","street"
"787","42B7","family life"
"788","45A1","war"
"789","45B"," soldier  soldiers life"
"790","25I141","street"
"791","42B7","family life"
"792","45A1","war"
"793","31D15","adult woman"
"794","49N","reading"
"795","49N1","reading  somebody"
"796","31D11222","girl child  toddler  youth"
"797","49N","reading"
"798","49N1","reading  somebody"
"799","46C223","harbour"
"800","46C2831","lighthouse lightship"
"801","46C24","sailingship sailingboat"
"802","25H2","landscapes  waters waterscapes seascapes   temperate zone"
"803","46C2831","lighthouse lightship"
"804","46C223","harbour"
"805","31A27113","strolling"
"806","42B122","mother  daughters motherlove"
"807","42B71","family life  home"
"808","46C112","bridge"
"809","31A27113","strolling"
"810","42B122","mother  daughters motherlove"
"811","42B71","family life  home"
